model,susceptibility,s_uncertainty,robustness,r_uncertainty
claude-haiku-4-5,0.7825660424101015,0.059687440730551954,30.170859776506152,3.8997075531501637
claude-sonnet-4-5,0.7366247886418256,0.0437871709736703,104.37025814360388,13.861633824625853
gemini-2.5-flash-lite,0.7758982754621931,0.030491265665030153,28.52674418207903,1.9344110324363013
gpt-4.1,0.7926108039372166,0.039525950875848335,14.533967274018003,0.6746619486787886
gpt-4.1-mini,0.7792864855725239,0.029691964484374778,11.647368899061947,0.4853756290064632
gpt-4.1-nano,0.6818674352859972,0.05725710246586277,13.325059170236889,0.7252694921685682
gpt-4o-mini,0.6083101638665155,0.0416660744244796,13.586064474510074,0.6367443568892215
grok-4,0.7501690361169999,0.03731563297556379,3.3744466668666844,0.06050746441135389
grok-4-fast,0.8548165035059195,0.03592129250100187,3.4238629575924473,0.0676105387626245
